Username,Komentar,Likes,Waktu
@Modikie,"the thing is with with android vs iPhone debate, its really putting apple in a disadvantageous position because though they are comparable in terms of marketshare, at the end of the way, you are still choosing between what one company can offer, vs what many, many different companies can offer. So in that way with this kind of system, its hard for the iPhone to win because it is competing with different android phones, with different strengths and weaknesses, under one umbrella which leads to the android usually coming out onto because some android phones are better, even if the experience on the iPhone is better in most cases. for example with features. yes, android is going to have more features because as a whole, you have many more companies doing many more things. same with customization. You have one OS, for one company, vs a platform which must be a one size fits all situation that can be used by anybody, which automatically means more ability to do things differently. so ofc android will be better in this way ultimately, even if the experience of that customization, is worse. 

Apps, I have always known apps to be better on the iPhone. there are not as many apps in some cases, but the apps that are on iOS, are all high quality, and are very, very unlikely to be taken down from the App Store for doing shady practices. It depends on preference but still, the app experience is still better on iOS for all the apps people regularly use on their phone. even on my 6 year old iPhone 12 mini, Spotify opened up just a slight tad bit slower than my s23 plus (a 3 year newer device), but when it came to USING the app, the iPhone was hands down the better experience because everything stays loaded, and switching between menu's is flawlessly smooth, while on my s23 plus, it would often hang for a moment on a blank screen before it brings the content in. I dont care if it opens the app slightly quicker, what matters is using the app, and at the end of the day, the iPhone just does it better.",0,2026-05-09T11:08:01Z
@LuyandaNkambule-bm4hu,Simple answer if your Android is ugly it's your fault,0,2026-05-02T07:20:18Z
@BrazilAviationBR,"I really prefer iPhones because I find the software better and more intuitive than Android, especially with the new iOS 26",0,2026-05-01T12:49:38Z
@EmilyMartinez-y7n,So well done. I watch these vids to keep myself in the know so I don’t slip back to the stone age. Latest and greatest tech isn’t my thing but dang these vids are so well done!,0,2026-04-30T04:50:02Z
@ArnavKulkarniklk12,I am tied....,0,2026-04-29T21:42:43Z
@devanarayanan1243,how did apple apple win ease of use without a backbutton lol,1,2026-04-24T18:47:14Z
@doneask1746,Both are not great. Apple is better Android is trash,0,2026-04-22T06:53:58Z
@PibsMegie,I like android but iPhone does seem nice I didn't realize you can't customize it as much though so I think I stick with what I like,0,2026-04-21T18:51:55Z
@dsh5564,"OK, you need to update this video cause it’s wrong. iOS is way more upgradable and updatable and things you could do to it then you think iOS 26 is way better than that so take this video down and update it to the newer operating system system or get off the Internet.",0,2026-04-16T03:50:43Z
@thundermane3289,This dude works for android he knows dam well iPhone dominates android😂😂😂,0,2026-04-15T21:40:32Z
@ilikechorizopizza0,"if you want a reasonable priced mini computer, go with android

if you want an unreasonably overpriced smartphone, go with apple

if you don't want your brain to rot, get on the flipphone bandwagon, and keep your games and work to your laptop/pc",0,2026-04-04T12:34:04Z
@Nickolaughagus,The only thing that makes me want apple is the green bubble plague. Literally affecting me socially,0,2026-04-02T00:59:53Z
@RoyNusser,"I would like a phone that can do less. Which is best for that? No bloat, no assistants and just basic apps.",0,2026-03-30T12:03:28Z
@ivory8581,Do you discuss the sound customization in an android vs iphone? Such a deal breaker. Iphone your alarm volume is decreased if you are listening to music at a lower volume and then fall asleep,0,2026-03-27T05:37:04Z
@David489Daniel,14:23 totally 👀,0,2026-03-25T19:51:20Z
@lemonschool,"My wife uses an iPhone because it's easy to use, while I use an Android because it's more interesting.",1,2026-03-23T23:37:51Z
@a_dissapointing_failure,5:36 they added usbc with the iPhone 15,0,2026-03-20T13:33:19Z
@a_dissapointing_failure,2:34 they added this in iOS 18,0,2026-03-20T13:30:00Z
@a_dissapointing_failure,"I like iPhone better, but I would still use WhatsApp since I don’t care about green/blue bubbles",1,2026-03-20T13:28:03Z
@lil.mochi.dan_go,watching this nearly three years later on my iPhone 17 and damn a lot has changed,0,2026-03-20T08:36:59Z
@GraysonBrowder-m6f,"Android wins because of Rog Asus and Google pixel,  and Samsung idk 🤷‍♂️",1,2026-03-19T00:58:13Z
@Frynoks1,We are not gona talk about price?,0,2026-03-16T17:01:17Z
@carlosmartinezsuarez3541,Android for life! Apple for fit in,0,2026-03-14T20:08:58Z
@JimCHEN-c1j,why???,1,2026-02-28T06:16:35Z
@JimCHEN-c1j,really,1,2026-02-28T06:16:03Z
@Charles-l4h,Now if we could get free to really mean free. Or get them in a nationwide price war.,1,2026-02-26T07:54:55Z
@AmySakamoto-xw6mr,不喜欢折腾手机就买苹果,0,2026-02-25T17:58:16Z
@CompetitionChris,"Yeah, I'll still stick with Android. Fuck Apple Inc",0,2026-02-25T02:49:53Z
@Googoo-wf6gy,More Apps should have outweighed quality because the quality isn't that much different. Having more apps is like having more everything. Apps should have went to Android. Sorry sir you Dropped the ball right there. Android wins.,0,2026-02-17T16:04:08Z
@Newyorker3125,"If you are single, iPhone is a must given the social stigma of being an android user.",0,2026-02-17T10:16:15Z
@KirkoHssn,Iphone like a Bricks community; and Android is like a Gummybear VERSATILE.,0,2026-02-15T04:38:24Z
@JrgsGrg,"Iphones got no logic. Wife got a iphone from her sister and didnt know how to use it. I said ""throw it on the wall"". We went and changed it some huawei lite-model and peace landed in our household.",0,2026-02-11T12:11:45Z
@StefanAl3x,I have an android now and I will switch soon,0,2026-02-10T09:51:06Z
@TheTechMythBusters,great video,0,2026-02-09T18:04:51Z
@bommareddybrijendrareddy9301,"@12:56 - all 3 things we have started to get with the iphone now mentioned way back then. You were spot on sir, in hindsight.",1,2026-02-06T21:42:12Z
@sanatsrivastava2814,I was confused about iOS or Android. I did the math at the end of the video and it's a tie at 10 points each. -_-,0,2026-01-29T15:39:11Z
@Hittfeldgraphy,"#1 more jung people involved...
#2 why would you be against a more simple life with android? No sense",0,2026-01-28T04:42:08Z
@bible-binoculars,"me watching this video in 2026 after iOS 26
haha lol",3,2026-01-25T11:40:37Z
@CyberPower7727,"*Android Superior, Apple Inferior.*",2,2026-01-23T23:24:37Z
@omglul914,Ecosystem is minus one,0,2026-01-23T07:29:37Z
@omglul914,"No updates? Just install a new version of android youself! My phone was android 8, now it's android 16. Uncheck",0,2026-01-23T07:28:27Z
@Bangmaceda,"Longetivity and Repairability should really be a category. 

Most androids easily break. And cost more for repairs. And will you find store that can easily repair it? In my experience iPhones are easy to repair vs androids.",0,2026-01-14T07:31:50Z
@DimensionalDrift0,Please check the views this video has: 6.7M,0,2026-01-12T08:21:22Z
